Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.141-192.168.0.142-40708-46003-6,192.168.0.141,40708,192.168.0.142,46003,6,7/8/2025 10:10,31990,5,5,521,526,376,0,104.2,164.40255472467572,526,0,105.2,235.23435123297787,32728.977805564242,312.5976867771179,3554.4444444444443,6965.826568166751,20615,0,11319,2829.75,4212.334853340445,8951,0,23531,5882.75,9939.76785,20723,56,0,0,0,0,160,176,156.29884338855894,156.29884338855894,0,526,95.18181818181819,184.23399153349425,33942.163636363635,0,1,0,0,0,0,0,0,1,104.7,104.2,105.2,0,0,0,0,0,0,5,521,5,526,-1,506,2,0,0,0,0,0,0,0,0,0,Benign
192.168.0.141-192.168.0.142-42947-41692-6,192.168.0.142,41692,192.168.0.141,42947,6,7/8/2025 10:10,60123350,4,5,551,364,406,0,137.75,191.4512557632708,364,0,72.8,162.7857487619847,15.218712862806214,0.14969225766694635,7515418.75,2.1227680337002978E7,6.005123E7,0,25511,8503.666666666666,14655.181006501874,25426,25,6.012335E7,1.50308375E7,3.0013617708960585E7,6.0051255E7,0,0,0,0,0,128,176,0.066529892,0.083162365,0,406,91.5,161.4636181930778,26070.5,0,1,0,0,0,0,0,0,1,101.66666666666667,137.75,72.8,0,0,0,0,0,0,4,551,5,364,-1,505,2,0,0,0,0,0,0,0,0,0,Benign
192.168.0.141-192.168.0.142-47266-43761-6,192.168.0.141,47266,192.168.0.142,43761,6,7/8/2025 10:10,119989813,1188,1190,0,62192,0,0,0,0,104,0,52.26218487,4.257304445685429,518.3106669230328,19.818349079350593,50479.51745898202,43646.863451846635,245856,1,1.19795897E8,100923.24936815488,44027.32960198828,375059,1,1.19989813E8,100916.5794785534,13363.762801330242,245856,18806,0,0,0,0,38016,38080,9.900840498851348,9.917508580499247,0,104,26.142076502732223,26.309377380679077,692.1833381589878,0,0,0,0,1,0,0,0,1,26.153069806560133,0,52.26218487394958,0,0,0,0,0,0,1188,0,1190,62192,-1,504,0,0,0,0,0,0,0,0,0,0,Benign
192.168.0.141-192.168.0.142-46561-50574-6,192.168.0.141,46561,192.168.0.142,50574,6,7/8/2025 10:10,119965777,3533,3272,476370,134,938,134,134.83441834135292,24.05945433272956,134,0,0.040953545232273826,2.3426000642714655,3971.999447809186,56.72451069107817,17631.654467960074,27255.902329800934,336564,-287,1.19932667E8,33956.021234428066,29666.846582267073,336602,0,1.19965777E8,36675.566187710145,29171.837720511714,336609,4,0,1,0,0,113056,105244,29.450065579952856,27.274445111125317,0,938,70.03203056126948,69.56523008611606,4839.321236934267,0,0,0,1,1,0,0,0,0,70.04232182218956,134.83441834135297,0.040953545,0,0,0,0,0,0,3533,476370,3272,134,-1,3923,3533,0,0,0,0,0,0,0,0,0,Benign
192.168.0.141-192.168.0.142-46561-50562-6,192.168.0.141,46561,192.168.0.142,50562,6,7/8/2025 10:10,119998938,3109,3111,356286,102,612,102,114.59826310710851,54.04557169071359,102,0,0.032786885245901565,1.828732428509418,2969.926283847612,51.83379206239309,19295.535938253757,27963.53977146761,338683,-27,1.19963354E8,38598.24774774792,28707.521469585157,338738,0,1.19998938E8,38584.86752411581,28714.131097788817,338710,50,0,1,0,0,99488,99552,25.90856262411256,25.925229438280528,0,612,57.30429191448322,68.86819156585126,4742.827809550787,0,0,0,1,1,0,0,0,1,57.31350482315113,114.5982631071084,0.032786885,0,0,0,0,0,0,3109,356286,3111,102,-1,6927,3109,0,0,0,0,0,0,0,0,0,Benign
192.168.0.141-192.168.0.142-46561-50584-6,192.168.0.141,46561,192.168.0.142,50584,6,7/8/2025 10:10,119998958,3106,3108,356286,102,612,102,114.70895041854472,54.51016507953226,102,0,0.032818532818532746,1.829614808502143,2969.925789,51.78378298918229,19314.17319,28000.19331,338662,-57,1.19963354E8,38635.54074074073,28764.29315389819,338738,0,1.19998958E8,38622.13002896681,28777.65592,338719,33,0,1,0,0,99392,99456,25.88355808889607,25.90022490028622,0,612,57.35961383748995,69.09682088979548,4774.370657076478,0,0,0,1,1,0,0,0,1,57.36884454457676,114.70895041854475,0.032818532818532815,0,0,0,0,0,0,3106,356286,3108,102,-1,6942,3106,0,0,0,0,0,0,0,0,0,Benign
192.168.0.141-192.168.0.142-48635-36684-6,192.168.0.141,48635,192.168.0.142,36684,6,7/8/2025 10:10,119996269,1376,1350,2298483,1961,1985,489,1670.4091569767438,539.7610559865589,1961,0,1.4525925925925953,53.37165983997569,19170.962723849356,22.717372987655143,44035.32807339448,58184.11930815998,380748,-185,1.19895323E8,87196.59854545449,54271.20976992423,380765,0,1.19996269E8,88952.01556708672,53428.58234103079,380817,6,0,1,0,0,44032,44736,11.46702319552952,11.25034979212562,0,1985,844.2995966263271,919.2994170994393,845111.4183,0,0,0,1,1,0,0,0,0,844.6093176815847,1670.4091569767443,1.4525925925925927,0,0,0,0,0,0,1376,2298483,1350,1961,-1,7612,1376,0,0,0,0,0,0,0,0,0,Benign
192.168.0.141-192.168.0.142-48635-36696-6,192.168.0.141,48635,192.168.0.142,36696,6,7/8/2025 10:10,119993634,1420,1383,2296944,1961,1985,489,1617.5661971830978,565.5330667578353,1961,0,1.4179320318148978,52.731060243361405,19158.55802817006,23.35957255865757,42824.28051391866,57946.010866921046,380725,-170,1.19775339E8,84408.27272727282,55648.13411118146,380755,0,1.19993634E8,86826.07380607806,54759.83599466438,380791,5,0,1,0,0,45440,45732,11.833961124971013,11.525611433686556,0,1985,820.5656205420814,903.6679351625594,816615.7370409637,0,0,0,1,1,0,0,0,0,820.8583660363896,1617.5661971830987,1.4179320318148951,0,0,0,0,0,0,1420,2296944,1383,1961,-1,8148,1420,0,0,0,0,0,0,0,0,0,Benign
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,7/8/2025 10:10,116739428,127,1,0,0,0,0,0,0,0,0,0,0,0,1.096459030105921,919208.0944881891,1261317.786643658,1.0236093E7,0,1.16611834E8,925490.7460317458,1264356.3298746315,1.0236093E7,0,0,0,0,0,0,0,0,0,0,0,0,1.0878929439332186,0.008566086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,1,0,-1,-1,0,0,2.7824922E7,3.582494275425259E7,6.9124637E7,5131372,7844092.666666667,2312298.1863086633,1.0236093E7,5620730,Benign
192.168.0.141-192.168.0.142-52776-35679-6,192.168.0.141,52776,192.168.0.142,35679,6,7/8/2025 10:10,119920536,603,604,768,31982,768,0,1.2736318407960205,31.27537775521415,782,0,52.95033112582778,29.93820362637713,273.0975118390065,10.06499837525743,99436.59701492538,85157.43940189408,233953,0,1.19885434E8,199145.23920265783,46234.31964508816,452981,0,1.19915194E8,198864.33499170805,14425.862169938608,233953,23,0,0,0,0,19296,19344,5.0283297599670504,5.036668615290378,0,782,27.110927152317917,40.04828419434486,1603.8650669110123,0,1,0,0,0,0,0,0,1,27.133388566694283,1.2736318407960199,52.950331125827816,0,0,0,0,0,0,603,768,604,31982,-1,504,1,0,0,0,0,0,0,0,0,0,Benign
