Src IP,Dst IP,Protocol,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.0.142,192.168.0.141,6,119974605,1183,1184,62764.0,52.0,156.0,52.0,53.05494505494513,7.933491973884241,52.0,0.0,0.0439189189189189,1.51121930366965,523.5774687484906,19.729175186698885,50707.77895181742,40965.60442411591,316284.0,6.0,119874340.0,101416.53130287638,23117.30151634075,316284.0,7992.0,119913229.0,101363.67624683,44761.48546185793,482105.0,6004.0,0,1,0,0,37856,37888,9.8604200447253,9.868755141973589,0.0,156.0,26.54898648648652,27.118029876605963,735.3875443884936,0,0,0,1,1,0,0,0,1.0,26.56020278833967,53.05494505494506,0.0439189189189189,0,0,0,0,0,0,1183,62764,1184,52,-1,586,1183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119993117,2989,2991,355470.0,102.0,816.0,102.0,118.92606222816998,70.30837758345592,102.0,0.0,0.0341023069207622,1.8650563814313328,2963.2699682265943,49.836191854237775,20069.09466465962,29006.46913924779,368894.0,-78.0,119973393.0,40151.73795180725,29693.744137824757,368946.0,0.0,119993117.0,40131.47725752519,29694.69206807364,368900.0,8.0,0,1,0,0,95648,95712,24.909762115772025,24.92642973846575,0.0,816.0,59.4673131583348,77.49739758250348,6005.846632060616,0,0,0,1,1,0,0,0,1.0,59.477257525083616,118.92606222816995,0.0341023069207622,0,0,0,0,0,0,2989,355470,2991,102,-1,5026,2989,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119994733,3499,3184,469938.0,134.0,938.0,134.0,134.30637324949993,14.326020657853093,134.0,0.0,0.0420854271356784,2.3747520367779216,3917.438609576305,55.694111174029615,17957.906764441774,26559.70395371154,323830.0,-197.0,119968500.0,34296.312178387685,28129.954045897022,323911.0,0.0,119994733.0,37698.62802387686,27232.6358452906,323861.0,4.0,0,1,0,0,111968,102080,29.15961319735592,26.53449797667369,0.0,938.0,70.34799521244761,67.87803905105181,4607.4281854161145,0,0,0,1,1,0,0,0,0.0,70.35852162202603,134.30637324949987,0.0420854271356783,0,0,0,0,0,0,3499,469938,3184,134,-1,1700,3499,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119993138,2986,2988,355470.0,102.0,816.0,102.0,119.04554588077688,70.73694825072585,102.0,0.0,0.0341365461847388,1.865992419824732,2963.2694496246945,49.78618027307528,20089.257994307696,29108.1000915085,368855.0,-54.0,119973394.0,40192.09179229479,29878.29758603552,368881.0,0.0,119993138.0,40171.79042517568,29884.73604895332,368892.0,8.0,0,1,0,0,95552,95616,24.88475632664928,24.901423946426004,0.0,816.0,59.527029288702856,77.73772721445496,6043.154232469011,0,0,0,1,1,0,0,0,1.0,59.53699363910278,119.04554588077696,0.0341365461847389,0,0,0,0,0,0,2986,355470,2988,102,-1,5049,2986,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119984391,1387,1364,2273938.0,1905.0,1913.0,449.0,1639.4650324441243,514.4656953563241,1905.0,0.0,1.3966275659824037,51.58076689228733,18967.82557324477,22.92798235730513,43630.68763636376,55230.54986414341,326868.0,-110.0,119883518.0,86496.04473304485,48414.72967090722,326888.0,0.0,119984391.0,88029.63389581809,47606.54693954227,326899.0,5.0,0,1,0,0,44384,44728,11.559836979128391,11.368145378176733,0.0,1913.0,827.6700581395352,897.6959785711722,805858.0699428543,0,0,0,1,1,0,0,0,0.0,827.9709196655762,1639.465032444124,1.3966275659824048,0,0,0,0,0,0,1387,2273938,1364,1905,-1,477,1387,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.141,192.168.0.142,6,119984407,1392,1371,2275835.0,1905.0,1913.0,449.0,1634.9389367816088,515.6480234802325,1905.0,0.0,1.389496717724288,51.44891881531402,18983.63343163416,23.02799229569889,43441.13215061554,55550.92227167039,352309.0,-129.0,119883518.0,86185.13156002879,49612.929456003934,352359.0,0.0,119984407.0,87579.85912408729,48754.69305737581,352364.0,7.0,0,1,0,0,44544,44976,11.601507519222894,11.426484776475997,0.0,1913.0,824.7630246020269,895.9230054922234,802678.0317702185,0,0,0,1,1,0,0,0,0.0,825.061527325371,1634.9389367816093,1.3894967177242887,0,0,0,0,0,0,1392,2275835,1371,1905,-1,477,1392,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
192.168.0.142,192.168.0.141,6,61449358,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0650942520831543,20483119.333333336,35458390.605326705,61426942.0,9364.0,0.0,0.0,0.0,0.0,0.0,61449358.0,30724679.0,43432799.42594373,61436306.0,13052.0,0,0,0,0,32,96,0.0162735630207885,0.0488206890623657,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,3.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,3,0,-1,509,0,0,13052.0,0.0,13052.0,13052.0,61426942.0,0.0,61426942.0,61426942.0,BENIGN
192.168.0.141,192.168.0.142,6,62364794,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1282775022074153,8909256.285714285,22832990.125224423,60683658.0,9.0,61560609.0,30780304.5,42289728.08013696,60683658.0,876951.0,62228924.0,15557231.0,30096633.918963782,60698932.0,40.0,0,0,0,0,96,160,0.0481040633277807,0.0801734388796345,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,5,0,-1,501,0,0,804185.0,0.0,804185.0,804185.0,60683658.0,0.0,60683658.0,60683658.0,BENIGN
192.168.0.141,192.168.0.142,6,72622756,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1239280976888291,9077844.5,17365401.499398082,50439688.0,21.0,61574633.0,30787316.5,27792650.308094487,50439688.0,11134945.0,72464921.0,14492984.2,20749944.61634224,50462888.0,21.0,0,0,0,0,96,192,0.0413093658962763,0.0826187317925527,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,2.0,0.0,0.0,0.0,0,0,0,0,0,0,3,0,6,0,-1,501,0,0,269372.3333333334,446624.87344563927,784917.0,22.0,23885601.33333333,22999466.371777706,50439688.0,10240028.0,BENIGN
192.168.0.141,192.168.0.142,6,119966424,3132,3134,355572.0,102.0,612.0,102.0,113.52873563218392,51.87977285625956,102.0,0.0,0.0325462667517548,1.8220096620707011,2964.77954531678,52.231280979084616,19148.6710295291,25615.210562622044,288683.0,-50.0,119939333.0,38307.03704886622,24169.97991819424,288730.0,0.0,119966424.0,38291.23013086514,24175.427110625908,288733.0,13.0,0,1,0,0,100224,100288,26.107304823889724,26.12397615519489,0.0,612.0,56.76974629009108,67.58127443064446,4567.228653670079,0,0,0,1,1,0,0,0,1.0,56.77880625598468,113.52873563218392,0.0325462667517549,0,0,0,0,0,0,3132,355572,3134,102,-1,5139,3132,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BENIGN
